parent_name,category_name,name,is_opensource,service_provider,website,cost_structure,fee_amount,free_credit,support_structure,sgb_domain,ngo_ref,additional_comments
,,Social Integrated Platform,No,SynergyConnect Data Innovations Private Limited,www.synergyconnect.in,Subscription Based SAAS Service,1 Lakh Onwards,No,24 X 7 Online Support,ALL,KOITA Foundation,"The SaaS Platform has multiple modules that are useful to NPOs, including project, survey, purchase and voucher management, donor management, LMS, BI Analytics, impact apps, etc. "
,,SynergyDonor - Donor Relationship Platform,No,SynergyConnect Data Innovations Private Limited,www.synergyconnect.in,SaaA - User based subscriptions,90 thousands onwards,Two Months,24 x 7 Support (India Time),ALL,Swades Foundation,Includes CRM Lifecycle - Contacts - Leads - Prospects - MOU - Donor - Reallocations - Addendum
,,MGrant,No,Dhwani RIS,https://dhwaniris.com/mgrant/,One Time Setup Cost (6-8 Lakh) + Annual SaaS Fees (8-12 Lakh),"16 to 18 Lakh First Year Cost, 8-12 Lakh SaaS Cost 2nd Year Onwards",NA,"Dedicated support team, SDG domain expertis","Various, including education, healthcare, and social welfare","One Stage Foundation, TRIF, Smile Founadtion",
,Crowdfunding,danamojo,No,Danamojo,danamojo.org,Subscription-based and transaction fee,Platform charge starting 3499,None,"Email, Phone, and Live Chat Support",,,Focuses on nonprofits and social enterprises. Integration with websites.
,,Fuel a dream,No,Fuel a Dream,fuelfadream.com,"Advance processing charges, contract charges, and payment processing charges https://www.fueladream.com/crowdfunding/pricing-charges","Starts at 3000 per campaign, 6% contract charge, 3% payment processing charge",None,"Email Support, Phone Support",,,Tailored for social enterprises and changemakers.
,,Milaap,No,Milaap,milaap.org,"No platform fee, Transaction-based https://milaap.org/crowdfunding/pricing",5%,None,"Dedicated relationship manager, 24X7 Expert support, All-in-one mobile app",,,Popular for medical and emergency fundraising.
,,Give India,No,GiveIndia,giveindia.org,Transaction costs,,None,Email and Call Support,,"Bhumi, Goonj, Smile Foundation, Cuddles Foundation and HelpAge India",Known for working with a wide range of verified NGOs and causes.
,,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,2% transaction fee,No SaaS Fee for nonprofits,,All SDGs,"Make a Difference, Commons.farm","""Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."""
Project Management,Training,Moodle,Yes,Moodle (Dhwani RIS implementing the tool for organisations),https://moodle.com/solutions/lms/,    - One Time Setup Cost: ₹6-8 lakh     - Annual SaaS Fees: ₹8-12 lakh,  - First Year: ₹16-18 lakh     - Second Year Onwards: ₹8-12 lakh (SaaS),NA," Dedicated support team, email support","Various, including education, healthcare, and social welfare","TRIF, Vihara Innovation Network, Nasscom Foundation",
,,mLearn,No,Dhwani RIS,https://dhwaniris.com/mlearn/,- One-time setup cost: ₹2-4 lakh - Annual SaaS fees: ₹3-5 lakh,    - First Year: ₹5-7 lakh     - Second Year Onwards: ₹3-5 lakh onwards,NA,"Dedicated support team, email support","Various, including education, healthcare, and social welfare","Yash Johar Foundation, PCI, TRIF, AKDN",
,Learning Management System,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 10000 per month ,"First month free, upto 10% off for nonprofits",,All SDGs,"Ashoka University, Kaivalya Education Foundation,","Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."
,Fellowship Management,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 10000 per month ,NA,,All SDGs,"SBI Youth for India Fellowship, Teach for India, Gandhi Fellowship, Bhumi Fellowship","Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."
,Agile Project Management,Redmine,Yes,Open-source community,https://www.redmine.org,Free,NA,NA,"
Community support",,,Strong issue tracking and workflow customization
,,Taiga,Yes,Open-source community,https://taiga.io,"Free (limited version)
",Paid for additional features,Limited,Community and developer support,,,Suitable for agile teams and product management
,Task Management,Trello,N,Atlassian,trello.com,Subscription-based https://trello.com/pricing,Free; Paid starts at $5/user/month,Discounts available for nonprofits https://support.atlassian.com/trello/docs/non-profit-and-educational-discounts/,"Email, chat support, and community forum",,Multiple NGOs,Popular for its intuitive visual boards
,,ClickUp,N,Mango Technologies,clickup.com,Subscription-based https://clickup.com/pricing,Free; Paid starts at $7/user/month,Discounts available for nonprofits https://clickup.com/teams/non-profit/discount,"Email, chat support, and knowledge base",,Various,Highly customizable for multi-projects
,,Monday.com,N,Monday.com Ltd.,monday.com,Subscription-based https://monday.com/pricing,Paid starts at $9/seat/month,"Free for upto 10 users, 70% discount upto 50 users, discounts available on contact for bigger teams https://monday.com/nonprofits/pricing","24/7 support; chat, email, phone",Partnerships for the Goals,Several,Ideal for collaboration with customization
,,Jira,N,Atlassian,jira.com,Subscription-based https://www.atlassian.com/software/jira/pricing,Free up to 10 users; Paid starts at $7.53/user/month,Free to try and 75% off for eligible nonprofits,"Email, chat support, and extensive documentation",,,Primarily for agile teams; popular for tech projects
,,Avaza,N,Avaza,avaza.com,Subscription-based https://www.avaza.com/pricing/,Paid plans start at $11.95/user/month,No,"Email, chat, knowledge base",,,Includes time tracking and client billing
,,Google Sheets,N,Google,sheets.google.com,Free and subscription-based (Google Workspace),Free for personal; Google Workspace starts at $6/user/month,Free personal use,"Email, community support",,,"Widely used, simple, and highly flexible"
,,Smart Sheets,N,Smartsheet Inc.,smartsheet.com,Subscription-based https://www.smartsheet.com/pricing,Paid plans start at $9/member/month,No,"24/7 support, email, phone, chat","Industry, Innovation & Infrastructure",Some,Combines spreadsheets with project management features
,,Basecamp,N,Basecamp,basecamp.com,Subscription-based https://basecamp.com/pricing/india,4800/month,10% off for nonprofits,Email and knowledge base,Partnerships for the Goals,Several,Known for team communication and file sharing
,,Notion,No,Notion,https://www.notion.so,Freemium with paid plans https://www.notion.so/pricing,"Free for individuals, paid plans from $10/user/month","50% discount for nonprofits, starts at $5/seat/month https://www.notion.so/pages/nonprofits","Email support, community forums
",,,
,,Zoho Projects,N,Zoho Corporation,zoho.com/projects,Subscription-based,Paid starts at 280 rupees/user/month,Startup credits https://survey.zohopublic.com/zs/6yD7Dn,"Email, phone support, extensive knowledge base",Decent Work & Economic Growth,Few,Part of Zoho suite; integrates well with other Zoho tools
,,GitHub,N,Microsoft,github.com,Free and subscription-based https://github.com/pricing,Free; Paid plans start at $4/user/month,Exclusive access to a free GitHub Team plan or 25% off the GitHub Enterprise cloud plan,"Extensive documentation, email support",,,Mostly for developers; project boards for issue tracking
,,Microsoft Excel,N,Microsoft,microsoft.com/excel,Subscription-based (Office 365),Part of Office 365 starting at 145 rupees/user/month,Free through Office Online,"Email, chat, community support",,,Widely used; strong data analysis capabilities
,,AirTable,N,AirTable,airtable.com,Subscription-based https://airtable.com/pricing?_gl=1*g7v2l1*_gcl_au*MTA3Mzk2NjE4NS4xNzMxNTczNjYz*_ga*MTYyOTgzNjQ2My4xNzMxNTczNjY0*_ga_VJY8J9RFZM*MTczMTU3MzY2My4xLjAuMTczMTU3MzY3MC41My4wLjA.,Free; Paid starts at $20/user/month,50% discount for nonprofits https://support.airtable.com/docs/nonprofit-and-educational-plans-faqs,Email and community support,,,Combines spreadsheet simplicity with database functionality
,,Collaborate,No,Platform Commons,https://digitalcommons.io/product/circlein,Onboarding and Annual SaaS Fee,Starts from Rs. 5000 per month,"First month free, 10% off for nonprofits",,All SDGs,"ReachOne, Make a Difference","Collaborate is a powerful app designed to streamline project management and task tracking for NGOs. With Collaborate, users can easily create and manage their projects, assign tasks to team members, and track progress in real-time. The app is specifically designed with the needs of NGOs in mind, offering intuitive workflows and tools that reflect their unique way of working"
,,Asana,N,Asana,https://asana.com,Free for individual and small ,$5/user/month,Free for up to 15 users,"Visual task tracking, collaboration tools",,,
,,Better Together,No,Platform Commons,https://bettertogether.co,Onboarding and Annual SaaS Fee,Starts from Rs. 5000 per month,"First month free, 10% off for nonprofits",,All SDGs,"ReachOne, Make a Difference","""Better Together is a versatile software designed to streamline and enhance community engagement and management. It offers a wide range of features, including:

Volunteer Management: Easily recruit, schedule, and track volunteers.
Fundraising: Manage donations, campaigns, and donor relationships.
Community Engagement & Social Networking: Foster connections and build community.
Communication: Facilitate effective communication within the community.
Event Management: Plan, promote, and execute events seamlessly.
Recruitment: Attract and hire new members or staff.
Project Management: Organize and collaborate on community projects.
Learning Management System: Offer educational courses and workshops.
Fellowship Management: Connect and support community members.
Placemaking: Create vibrant and inclusive community spaces.

Better Together is a comprehensive solution that empowers communities to thrive and achieve their goals."""
Office Automation,IT Infrastructure,Google Workspace,N,Google,workspace.google.com,Subscription-based,Starts at $6/user/month,Free 14-day trial,"Online help center, email, chat, and phone support",,,"Widely used for collaboration, reliable security features"
,,Zabbix,Yes,Zabbix LLC,https://www.zabbix.com/,Free,NA,NA,Extensive community and professional support,,,Comprehensive monitoring with scalability
,,Zapier,N,Zapier Inc.,zapier.com,Subscription-based https://zapier.com/pricing,Starts at 1719.82/month,15% discount for nonprofits,"Online support, help center",,,Great for automating workflows across multiple apps
,,Nagios,Yes,Nagios Enterprises,https://www.nagios.org/,Free and paid versions,Varies,NA,Community and enterprise support,,,Plugin-based architecture for extensibility
,Workflow Management,Flux,No,Flux Corporation,https://flux.ly,"Paid, varies by feature",Contact for details,,Phone and Email Support,,,Comprehensive tool for scheduling and automating complex workflows. Deployable on-premise or cloud.
,Resource Management,ClickTime,N,ClickTime,clicktime.com,Subscription-based https://www.clicktime.com/pricing,Starts at $12/user/month,Nonprofit discounts available at $11 per user per month https://www.clicktime.com/nonprofit-time-tracking/timesheet-pricing,"Phone, email, and online support",,,Good for managing timesheets and budgeting
,Database and Knowledge Management,M-Files,N,M-Files,m-files.com,Subscription-based,Custom pricing,N/A,Online support and training,,,Useful for document and information management
,,OneDrive,N,Microsoft,onedrive.com,Subscription https://www.microsoft.com/en-in/microsoft-365/onedrive/online-cloud-storage#Pricing,Starts at 149 rupees/user/mo,"5 GB of cloud storage
15 GB of mailbox storage","Email, Chat",Quality Education,-,Integrates with MS Office
,,Notion,No,Notion,https://www.notion.so,Freemium with paid plans https://www.notion.so/pricing,"Free for individuals, paid plans from $10/user/month","50% discount for nonprofits, starts at $5/seat/month https://www.notion.so/pages/nonprofits","Email support, community forums
",,,
,,Document360,N,Kovai.co,document360.com,Subscription-based https://document360.com/pricing/,Starts at $199/project/month,6 months of free access to startups,Email and online help center,,,Useful for creating knowledge bases
